"V1","V2","V3","V4","V5","V6","V7"
3,0,2,3,3,6,28
6,0,4,1,3,6,25
8,0,7,0,2,7,16
10,0,7,0,2,5,18
10,0,9,0,3,8,16
18,0,11,0,2,6,12
17,0,16,0,2,6,15
20,0,13,0,1,9,12
25,0,17,0,1,9,12
27,0,22,0,2,8,7
31,0,17,0,1,10,7
28,0,18,0,1,7,5
30,0,21,0,1,10,3
34,0,24,0,0,9,1
36,0,26,0,0,10,0
34,0,27,0,0,11,0
47,0,33,0,0,10,0
35,0,28,0,0,10,0
45,0,28,0,0,9,0
51,0,42,0,0,14,0
46,0,31,0,0,12,0
61,0,32,0,0,11,0
56,0,43,0,0,14,0
53,0,48,0,0,16,0
51,0,37,0,0,11,0
55,0,53,0,0,13,0
55,0,45,0,0,14,0
58,0,53,0,0,15,0
78,0,46,0,0,15,0
80,0,57,0,0,16,0
